titulo;empresa;localizacion;jornada;contrato;salario
 Tutor académico; LEADER READING LEEA S.A.; Machala, El Oro; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asesor comercial; LEADER READING LEEA S.A.; Machala, El Oro; Tiempo Completo; Contrato por tiempo indefinido; 401,00 US$ 
 Asesor Comercial; LEADER READING LEEA S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Tecnico de Fumigacion; Leaderh Consulting S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Chofer de cabezales; Leaderh Consulting S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Técnico de Desinfección; Leaderh Consulting S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Chofer de cabezales; Leaderh Consulting S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Programador de Sistemas Angular, PuntoNet, SQL Server; LeadSolutions Cia. Ltda; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Analista programador/a de sistemas; LeadSolutions Cia. Ltda; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesora Comercial; Learningecu; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asesora Comercial; Learningecu; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asesor de Admisiones; Learningecu; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 395,00 US$ 
 Administrador ventas; Learningecu; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 397,00 US$ 
 Programador; Learningecu; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Asistente Contable; LEXCONSULCORP S.A.; Guayaquil, Guayas; Medio Tiempo; Otro tipo de contrato; 400,00 US$ 
 Asistente Legal Pasantías Pagadas; LEXCONSULCORP S.A.; Guayaquil, Guayas; Beca/Prácticas; Contrato de Aprendizaje; 394,00 US$ 
 Analista contable administrativo; LINCOLN ENGLISH CENTER; Machala, El Oro; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asesor comercial comisionista; LINKHOME S.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Estudiante de ingenierías sistemas computacionales; LINKHOME S.A; Quito, Pichincha; Por Horas; Contrato de Aprendizaje; 394,00 US$ 
 Asesor comercial comisionista; LINKHOME S.A; Quito, Pichincha; Beca/Prácticas; Contrato de Aprendizaje; 1.200,00 US$ 
 Supervisor Operativo; Liservitip 's; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Asistente de ventas; Liservitip 's; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; 400,00 US$ 
 Ingeniero en Sistemas y Redes; LNTS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ingeniero en Telecomunicaciones; LNTS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ingeniero en Electromecánica; LNTS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Arquitecto; LOCKERS ECUADOR S.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Asesor comisionista; Locutorios MG; Ibarra, Imbabura; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Desarrollador .net; Logic Studio; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 1.100,00 US$ 
 Analista de Calidad; Logic Studio; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 1.200,00 US$ 
 Analista Contol Calidad; Logic Studio; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 1.100,00 US$ 
 Analista desarrollador; Logic Studio; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 1.100,00 US$ 
 Ingeniero calidad; Logic Studio; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.100,00 US$ 
 Desarrollador Java; Logic Studio; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 1.300,00 US$ 
 Recepcionista asistente administrativa; LOGIKA Inteligencia de Mercados; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Mercaderista; Logikard C.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Prevendedor; Lopezcorp S.A.; Quevedo, Los Ríos; Tiempo Completo; Contrato por tiempo indefinido; 850,00 US$ 
 Prevendedor; Lopezcorp S.A.; Santo Domingo, Santo Domingo de los Tsáchilas; Tiempo Completo; Contrato por tiempo indefinido; 850,00 US$ 
 Vendedor; Lubricantes y Lacas Cia Ltda; Latacunga, Cotopaxi; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor Comercial; Lubricantes y Lacas Cia Ltda; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor Comercial; Lubricantes y Lacas Cia Ltda; Riobamba, Chimborazo; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor Comercial; Lubricantes y Lacas Cia Ltda; Riobamba, Chimborazo; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Mercaderista; Lucky Ecuador; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Mercaderista; Lucky Ecuador; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Mercoimpulsadora; Lucky Ecuador; Latacunga, Cotopaxi; Tiempo Completo; Otro tipo de contrato; A convenir
 Mercaderista; Lucky Ecuador; Machala, El Oro; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Mercaderista; Lucky Ecuador; Portoviejo, Manabí; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Impulsador/a de ventas; Lucky Ecuador; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Supervisor Capacitador Retail; Lucky Ecuador; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Agente promotor de ventas; Lucky Ecuador; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Mercaderista de ruta; Lucky Ecuador; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Mercoimpulsadora; Lucky Ecuador; Riobamba, Chimborazo; Tiempo Completo; Otro tipo de contrato; A convenir
 Docente de Educación Basica; Ludoteca Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 9.999,00 US$ 
 Asistente Contable; Luigi Salvatore; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Coordinador comercial; M&M ASESORES EMPRESARIALES C.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Asesor Comercial; M&M ASESORES EMPRESARIALES C.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 vendedor; Mabel; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Coordinador de Planta de Agua; MACOMONSA; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Auditor junior; MACOMONSA; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 550,00 US$ 
 Vendedor de Preventa; MACOMONSA; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 404,00 US$ 
 Operario para Planta; MACOMONSA; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 406,00 US$ 
 Asistente Administrativo; MACOMONSA; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 420,00 US$ 
 Asistente Administrativo; MACOMONSA; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 420,00 US$ 
 Asesor comisionista; MACROD; Esmeraldas, Esmeraldas; Tiempo Completo; Otro tipo de contrato; 1.000,00 US$ 
 Asesor Comercial; MACROVENTAS; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Administrador/a de Tienda Comercial; Magicnegsa S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Jefe de Ventas; Main Coffee; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.800,00 US$ 
 Jefe de Inventarios; Main Coffee; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 550,00 US$ 
 Diseñador Gráfico; Makeit/ Christian Rhea; Quito, Pichincha; Desde Casa; Otro tipo de contrato; A convenir
 Asistende de gerencia; Makeit/ Christian Rhea; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Chef Pastelero Panadero; Manta Host Hotel; Manta, Manabí; Tiempo Completo; Contrato por tiempo indefinido; 900,00 US$ 
 Ejecutivo comercial Freelance; Manta Host Hotel; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Cajero Multifuncional; MANZANO AGUILAR ROSARIO YOLANDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Administrador/a de Tienda Comercial; Marcas Lideres Marlid S.A; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 asesor de venta; Marcas Lideres Marlid S.A; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; 403,00 US$ 
 Asesor de Ventas; Marcas Lideres Marlid S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 403,00 US$ 
 cajera; Marcas Lideres Marlid S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asistente de Logistica/Abastecimiento; Marcas Lideres Marlid S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Digitador; Marcas Lideres Marlid S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 394,00 US$ 
 Digitador/a; Marcas Lideres Marlid S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; 394,00 US$ 
 Guardia para local comercial; Marcas Lideres Marlid S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; 401,00 US$ 
 Asesor comisionista; MARIA FERNANDA NOVOA; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; 394,00 US$ 
 Asesor ventas; MARIA FERNANDA NOVOA; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; 394,00 US$ 
 Asesor comisionista; MARIA FERNANDA NOVOA; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; 394,00 US$ 
 Asesor comisionista; MARIA FERNANDA NOVOA; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; 394,00 US$ 
 Dealer; MARIA FERNANDA VITERI; El Triunfo, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Asesor call center; MARIA FERNANDA VITERI; Guayaquil, Guayas; Medio Tiempo; Otro tipo de contrato; A convenir
 Asesor call center; MARIA FERNANDA VITERI; Guayaquil, Guayas; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Tecnico Desarrollista; MARIA FERNANDA VITERI; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor de campo; MARIA FERNANDA VITERI; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Dealer; MARIA FERNANDA VITERI; Quevedo, Los Ríos; Tiempo Completo; Otro tipo de contrato; A convenir
 Vendedor de Campo; MARIA FERNANDA VITERI; Quevedo, Los Ríos; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Técnico Desarrollista; MARIA FERNANDA VITERI; Quevedo, Los Ríos; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Jefe de Ventas; MARKELITE SA; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Teleoperador/a; Marketing World Wide; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 394,00 US$ 
 Asistente/a de diseño; Marketing World Wide; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Diseñador/a Community manager; Marketing World Wide; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Motorizados; Marketing World Wide; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 394,00 US$ 
 Motorizados; Marketing World Wide; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 394,00 US$ 
 Vendedores para call center; Marketing World Wide; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 394,00 US$ 
 Peluquero/a; Martha Venegas; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Manicurista; Martha Venegas; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Barbero; Martha Venegas; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Topógrafo; Martinez; Quito, Pichincha; Tiempo Completo; Contrato de obra o labor; A convenir
 Tecnólogo Electromecánico; Martinez; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor; MASCORONA; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Vendedor; MASCORONA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Ayudante tecnico en climatización; Master BTU S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Lavador/a; Master Star Car Wash; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Coordinador de Mercadeo; MAXIAUTO S.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Coordinador de Mercadeo; MAXIAUTO S.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Guardia de Seguridad; MAXIMA SEGURIDAD INTEGRAL CIA.LTDA MSI; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 432,00 US$ 
 Agente promotor de ventas; MAXIMAMEDICAL CIA. LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Asistente de Compras publicas; MAXINSUMO S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Ingeniero/a en Seguridad y Salud Ocupacional; MAXIPAN; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 548,00 US$ 
 Promotor Asesor de Ventas, área tecnológica; MAXITEC; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asesores de Venta Tecnológica y Electrónica; MAXITEC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asesores de Venta de Tecnología (Línea Café); MAXITEC; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Diseñador web; MaxiTic; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Programador de Sistemas; MaxiTic; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Asesores Comerciales; Maxiviajes; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Buscamos Asesores Comerciales; Maxiviajes; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Promotor/a asesor de venta; Medic Home S.A; Guayaquil, Guayas; Desde Casa; Otro tipo de contrato; 400,00 US$ 
 mensajero; MEDICAL REDUX&SPA S. A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 diseñador grafico; MEDICAL REDUX&SPA S. A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 asesor estetico; MEDICAL REDUX&SPA S. A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 medico general; MEDICAL REDUX&SPA S. A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 vendedores con licencia de conducir; Medicalab; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Asistente Administrativa / Recepcionista; Medicdial S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Personal de limpieza; Medimagenes Cia Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; 396,00 US$ 
 Vendedor de Ruta; MEGA REPUESTOS ANDINA ECUADOR C.A.; Cuenca, Azuay; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Vendedor de Ruta; MEGA REPUESTOS ANDINA ECUADOR C.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Vendedor de ruta; MEGA REPUESTOS ANDINA ECUADOR C.A.; Latacunga, Cotopaxi; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
Electrotécnico/a; Megaprin S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 secretaria de ventas; Megaprin S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Teleoperador/a; MERCALOGISTICS; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; 400,00 US$ 
 Teleoperador/a; MERCALOGISTICS; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; 400,00 US$ 
 Médico Nefrólogo Quito y Guayaquil; Metrored; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 900,00 US$ 
 Médico Internista Guayaquil; Metrored; Guayaquil, Guayas; Medio Tiempo; Contrato por tiempo indefinido; 900,00 US$ 
 Médico Pediatra; Metrored; Ibarra, Imbabura; Por Horas; Otro tipo de contrato; 1.200,00 US$ 
 Médico Ginecólogo; Metrored; Manta, Manabí; Por Horas; Otro tipo de contrato; 1.200,00 US$ 
 Médico Ginecólogo; Metrored; Manta, Manabí; Medio Tiempo; Contrato por tiempo indefinido; 900,00 US$ 
 Médico Traumatólogo; Metrored; Manta, Manabí; Por Horas; Contrato por tiempo indefinido; 900,00 US$ 
 Médico General; Metrored; Manta, Manabí; Por Horas; Contrato por tiempo indefinido; 800,00 US$ 
 Técnico de Seguridad y Salud Ocupacional; Metrored; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 480,00 US$ 
 Asistente de Talento Humano; Metrored; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 480,00 US$ 
 Asesor Comercial Corporativo; Metrored; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Asesor comercial; MF GROUP; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.000,00 US$ 
 Telemercaderista; MG Business Partners; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 399,00 US$ 
 Asistente de Telemarketing y Ventas; MG Business Partners; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Ejecutiva comercial; MG Business Partners; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente Administrativa; MG Business Partners; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente; MG CLEANER; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Ejecutivo de Cuentas B2B; MIA IMPORT INTL; Estados Unidos; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Tecnico de soporte de TI; Microinformatica Cía. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor; Micromegas S.A. - SUBWAY Ecuador; Samborondón, Guayas; Medio Tiempo; Otro tipo de contrato; 400,00 US$ 
 Extrusores; MIGPLAS S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; 394,00 US$ 
 Ejecutiva de ventas y marketing mujer; Miguel C; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Asistente Contable CBA; Miguel C; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Mesero/a; MIKKA; Samborondón, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Mesero/a; MIKKA; Samborondón, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Ayudante de cocinero; MIKKA; Samborondón, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Anfitrión/a; MIKKA; Samborondón, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Conductor con Licencia TIPO E; Mileniumtours S.A; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de talento humano; MINEVOL S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 650,00 US$ 
 Tecnico mecanico; MINEVOL S.A.; Zaruma, El Oro; Tiempo Completo; Contrato por tiempo indefinido; 550,00 US$ 
 Operador de Maquinaria; MINEVOL S.A.; Zaruma, El Oro; Tiempo Completo; Contrato de obra o labor; A convenir
 Mesera con experiencia comprobable; MISKAY; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Analista y desarrollador de software; Mivilsoft SA; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 supervisor de ventas; MIWEBNET S.A.; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Ejecutivo/a de Venta y Atención al Cliente; MIWEBNET S.A.; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Asesora de ventas; MOLDERNORTH ASESORIA S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Vendedor; MOLOSIA SA; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 394,00 US$ 
 Ejecutivos Comerciales Sur de Quito; Monteolivo / Jardines del Valle; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 414,00 US$ 
 Pasantía; Monteolivo / Jardines del Valle; Quito, Pichincha; Medio Tiempo; Contrato por tiempo determinado; A convenir
 Coordinador de Marketing Junior; Monterosas; Pedro Moncayo, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Ingeniero de Recursos Humanos; MORESEG; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 750,00 US$ 
 Ing Recursos Humanos; MORESEG; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 750,00 US$ 
 Operario / despachador; MOTORCYCLE ASSEMBLY - LINE OF ECUADOR S.A MASSLINE; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Jefe de Distribución y Producto Terminado; MOTORCYCLE ASSEMBLY - LINE OF ECUADOR S.A MASSLINE; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Diseñador gráfico y editor de videos; Movimiento Católico Mundial por el Clima; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 chofer; MR JONES; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 410,00 US$ 
 Supervisor de limpieza; MR JONES; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; 410,00 US$ 
 Auxiliar de limpieza; MR JONES; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 394,00 US$ 
 Asistente Operaciones; MTC CORP; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auxiliar administrativa/contable; Muccha café-restaurant; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Estilista profesional; MULLIER BEAUTY SPA |; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesora; Multicomercio G&T; Machala, El Oro; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Meseros; MUNDO FAMILY COOK FAMCOOK CIA.LTDA.; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Mesero; MUNDO FAMILY COOK FAMCOOK CIA.LTDA.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asistente administrativa, contable y ventas; Musiart Cia. Ltda; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Mesero polivalente; NALU POKE; Samborondón, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asesora de Imagen; NÁTIGU; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Costurera; NÁTIGU; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesoría y ventas; NÁTIGU; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor Comercial Horeca; NATURALIMENTOS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Gerente Panaderías; NATURALIMENTOS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de Biologo/Jefe de Campo; Naturisa S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de Auditoria; Naturisa S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Técnico Comprador de Larvas; Naturisa S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de Alimentación Automática; Naturisa S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Operador de Excavadora Brazo Largo; Naturisa S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Mecanico II; Naturisa S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Jefe comercial; NCS CIA. LTDA.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.000,00 US$ 
 Programador Web; NDM Technology & Consultancy; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Ayudante de cocina; NEGOCIOS INTERNACIONALES; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Administracion de contratos y afiliaciones; Negocios y Servicios del Ecuador; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Estudiante contaduría pública; Negoplus S. A.; Samborondón, Guayas; Tiempo Completo; Contrato por tiempo determinado; A convenir
 coordinador Logistico; NEOQUIM CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ejecutivo Comercial Agricola; NEOQUIM CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.250,00 US$ 
 Diseñador Gráfico; New Print CIA. Ltda; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Jee de Operciones; NEWSEGI CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 700,00 US$ 
 Guardia de segurIdad; NEWSEGI CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Técnico en sistema de climatización A/C línea blanca; NEXT VISION S.A.; Guayaquil, Guayas; Por Horas; Otro tipo de contrato; A convenir
 Profesional en Marketing Digital y Community Manager; NEXT VISION S.A.; Guayaquil, Guayas; Por Horas; Otro tipo de contrato; A convenir
 Técnico instalador de seguridad electrónca; NEXT VISION S.A.; Guayaquil, Guayas; Por Horas; Contrato de obra o labor; A convenir
 Profesionas en Negocios Internacional; NEXT VISION S.A.; Guayaquil, Guayas; Por Horas; Otro tipo de contrato; A convenir
